country,description,designation,points,price,province,region_1,region_2,variety,winery
Italy,"Siepi is a gorgeous super Tuscan blend of Sangiovese and Merlot that exhibits richness, intensity and purity. This is a luscious and opulent expression with deep aromas of cherry, blackberry, chocolate, espresso bean and spice. The finish is super long and delicious.",Castello di Fonterutoli Siepi,95,120.0,Tuscany,Toscana,,Red Blend,Mazzei
US,"This is a rich Cabernet for drinking now. It's ripe and forward in blackberries, plums and mocha, and the finish is spicy. Give it a brief decant.",,87,30.0,California,Napa Valley,Napa,Cabernet Sauvignon,B Side
Italy,"This opens with earthy aromas of scorched soil, overripe plum, leather and a funky whiff of farmyard. On the palate, notes of game, clove and sage join raw red cherry offset by bracing tannins.",Vinum Vita Est,87,25.0,Piedmont,Barolo,,Nebbiolo,Cantina Terre del Barolo
Italy,Alicante imparts bright berry notes and sharp tones of white almond and bramble. Poggio al Tufo's expression is easy and fine with very nice berry brightness on the close. Pair it with pasta topped with melted mozzarella cheese.,Poggio al Tufo,87,24.0,Tuscany,Maremma,,Alicante,Tommasi
US,"Soft in acids, with gentle, dusty tannins and an official alcohol level of only 12.8%, this straightforward Cabernet offers pleasant raspberry and tobacco flavors. It's light-bodied and dry.",,85,48.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Regale Winery and Vineyards
US,"Some high-toned floral highlights liven up the nose, and the sweet fruit shows blueberry and blackberry. Still stiff and tannic, it's edged with an earthy, herbal character highlighted with some sweet baking spices from the oak. Nice detail and good management of oak and tannins; this is a wine to study and savor.",Final-Final,91,25.0,Washington,Columbia Valley (WA),Columbia Valley,Cabernet-Syrah,Efeste
France,"This wine is driven by its ripe fruit, black currant and red cherry flavors. Fruit tannins give weight.",Tradition,88,,Southwest France,Cahors,,Malbec-Merlot,Château la Caminade
Austria,"This lightweight wine is fresh and flavored with limes, pears and a hint of spice. It's edgy but also rounded, with mouthfilling fruit flavors and acidity playing an important supporting role.",,86,15.0,Kremstal,,,Grüner Veltliner,Zimmermann
US,"A wonderfully drinkable Chardonnay that shows brilliant coastal character and lots of richness, at a decent price. Crisp and dry, it has elaborate flavors of pineapples, green apples, peaches, crème brûlée, buttered toast, vanilla and cinnamon spice.",,90,24.0,California,Sonoma Coast,Sonoma,Chardonnay,Schug
US,"This low production, 100% Cab offers the most perfectly ripe black currant fruit, with complicating hints of pencil lead, violets, dark chocolate shavings and, of course, lots of toasty oak. The fact that it's now more than five years old has helped to mellow it, but the tannins are still quite hard. The beautiful estate vineyard sits high in the Vaca Mountains, which helps to account for the wine's intensity and concentration. This is truly a world-class Cabernet that will age through at least 2032.",Estate Grown Cave Fermented,97,130.0,California,Napa Valley,Napa,Cabernet Sauvignon,Jarvis
US,"In the aromas are some organic, composty notes, some violets, and plenty of purple fruits. This wine has extra grip in the mouth, drying tannins, quite ripe and polished, and elevated with beautifully ripe fruit. Veins of licorice and black olive run into the finish.",Clifton,92,25.0,Washington,Wahluke Slope,Columbia Valley,Syrah,K Vintners
US,"A soft entry quickly leads into a short, tart, spicy, lightly peppery wine. Some pretty raspberry scents bring similar flavors, but there is not much here in the way of depth or texture.",Boushey Vineyards,87,50.0,Washington,Yakima Valley,Columbia Valley,Syrah,Three Rivers
US,"Not many wineries hold Chardonnay for nearly four years, but Hendry did. Unfortunately, the wine is losing fruit fast. It's dry, acidic and earthy, with mushroom and pineapple flavors. Drink up.",Barrel Fermented,84,25.0,California,Napa Valley,Napa,Chardonnay,Hendry
New Zealand,"Medium-sweet on the IRF scale, this light- to medium-bodied Riesling displays classic scents of petrichor, green apple and lime. Shows decent length and hints of petrol on the finish.",,88,23.0,Central Otago,,,Riesling,Carrick
France,"Hand-sorting and 18 months of aging is the key here. This 80% Merlot blend with 15% Cabernet Sauvignon and 5% Cabernet Franc offers a generously proportioned balance of tannins and black fruits. It has full-bodied character, packed with berry fruits and rich acidity. With all these elements, it will develop well. Drink from 2017.",Cuvée Terroir,90,45.0,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Frédignac
US,"Plenty of strawberry, raspberry, lime, vanilla and yeasty flavors abound in this sparkler, which is almost off-dry in its sweetness. A fine burst of citrusy acidity helps to provide balance.",Reserve Pinot Noir Rosé,87,30.0,California,Sonoma-Napa-Mendocino,North Coast,Sparkling Blend,Chandon
US,"Not really dry, but actually a little sweet, with a honey-sugar edge to the strawberries, raspberries, limes and vanilla. Feels clean and crisp and fine in the mouth. The blend is Chenin Blanc, Pinot Noir, Chardonnay and French Colombard.",Extra Dry,86,12.0,California,California,California Other,Sparkling Blend,Korbel
France,"This rosé from the Côtes du Rhône is ahead of the pack, with intense cherry and spice character, a dry, crisp palate and a lovely strawberry finish that hangs around just long enough.",,87,14.0,Rhône Valley,Côtes du Rhône,,Rosé,E. Guigal
Australia,"This seems a bit oaky on the nose, where scents of baking spices and cedar dominate, but those elements are balanced out on the palate, where blackberries, plums and black currants comes to the fore. This is a full-bodied, ripe-textured wine worth a look. Drink now–2025.",Three Blocks,90,30.0,South Australia,McLaren Vale,,Cabernet Sauvignon,Fox Creek
France,"The Château Grenouilles vineyard, wholly owned by members of the La Chablisienne cooperative, is in the upper part of Grenouilles Grand Cru. As such, this is major Chablis, a wine that needs maybe 10 years' aging. But already, you can discern the richness of this wine, its powerful yellow fruits, honey and toast, dense in texture as well as vivid with acidity.",Château Grenouilles Grand Cru,94,99.0,Burgundy,Chablis,,Chardonnay,La Chablisienne
US,"Has the color, weight and silky texture of Pinot Noir, with a nice acidity for balance. Unfortunately, the flavors are not as good. There's a vegetal aspect to the raspberries and cherries that lowers the score.",The Puzzle,84,25.0,California,Central Coast,Central Coast,Grenache,Ovene
Italy,"Riserva Vigna Paganelli is an outstanding wine with bold chocolate and exotic spice aromas that are folded deep within the wine's solid, succulent structure. This expression earns high marks thanks to the impressively rich and creamy feel it imparts in the mouth.",Vigna Paganelli Riserva,95,96.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Il Poggione
South Africa,"This is a fresh and easy to drink white that's perfect for pairing with salads or citrus-based grilled fish. Medium weight with prominent tart flavors of lemony citrus and green berries, and the finish offers a hint of fresh hay.",Young Vines,86,11.0,Stellenbosch,,,Sauvignon Blanc,DeWaal
France,"Naturally low yields in a parcel within the Holder vineyard give concentration and great depth of flavor. The wine is still dominated by acidity, tense texture and a strongly steely character. Dry, nervy, needing to age, the wine has potential. Drink from 2017.",Holder,90,25.0,Alsace,Alsace,,Riesling,Henri Schoenheitz
Italy,"“I am Gaia, I am not Lucrezia” is a fantastical expression of Pecorino (an exciting native variety found in Central Italy) that shows extreme sophistication and balance with bright aromas of peach, melon and lemon curd. The wine is soft and round on the long finish.",Io sono Gaia non sono Lucrezia,90,29.0,Central Italy,Offida Pecorino,,Pecorino,Le Caniette
US,"A hot, rather brutal wine. High alcohol combines with high, hard tannins to make for a real textural challenge, despite interesting cherry, licorice and Canadian bacon flavors. Drink now.",,84,30.0,California,Santa Ynez Valley,Central Coast,Cabernet Franc,Carr
France,"Ripe and full-bodied, this immense wine has rich layers of tropical fruits. The wine, like so often in Corton-Charlemagne, is a powerful, huge expression of Chardonnay. It does have balance from acidity. Drink from 2018.",,93,282.0,Burgundy,Corton-Charlemagne,,Chardonnay,Domaine Faiveley
US,"This is a light, simple wine, mixing tart cranberry fruit with streaks of leaf and stem. The rather low alcohol and overall lightness makes it a good summer quaffing red.",Cuvée A,85,22.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Anne Amie
Argentina,"Dry and full of savory plum and spice aromas. With zesty and developed raspberry and cherry flavors along with a mostly fresh and balanced mouthfeel, this is a pretty good bargain Merlot.",,85,6.0,Other,Famatina Valley,,Merlot,Ezio
Spain,"Blackberry, plum and earth scents give this wine a darker bouquet than most entry- level 2007 Riojas. It remains solid and full in the mouth, with blackberry, dark plum and charred flavors. Medium length to the finish, with accents of cola and pepper. Good for the vintage; a cut above your everyday Rioja.",LZ,86,18.0,Northern Spain,Rioja,,Tempranillo Blend,Telmo Rodríguez
Hungary,"The Solus Merlot is unabashedly ambitious, with upfront vanilla from toasty new oak, a high level of extraction and a dense, black core of ripe fruit. It's full bodied, with steely tannins and a long finish of fig and char. Try with a pan-seared steak.",Solus,89,76.0,Villány,,,Merlot,Gere Attila
US,"This tastes like melted dark chocolate, blackberry essence, blackstrap molasses, black currant and black pepper. It's bone dry and dramatic, with chewy tannins. This is not a longterm ager, so drink it over the next 4–5 years, and let it spend a few hours in a decanter.",Larner Vineyard Clone 3 Reserve,90,39.0,California,Santa Barbara County,Central Coast,Syrah,db Winery
France,"92-94 Barrel sample. A complete wine, rich and opulent. It has all the right balances of acidity, sweet fruits, black flavors and underlying dry tannins. Excellent.",Barrel sample,93,,Bordeaux,Pessac-Léognan,,Bordeaux-style Red Blend,Château Les Carmes Haut-Brion
US,"Cedarville takes a lot of pride in its Cab, and this definitely screams mightily of its mountain, granite-soiled origins, with a rich mouthfeel and rocky minerality. Fully fruity, though restrained, this Cab has plenty of leathery plushness in the midpalate ending with a finale of dense, dark chocolate.",Estate,89,29.0,California,El Dorado,Sierra Foothills,Cabernet Sauvignon,Cedarville Vineyard
Chile,"Prepare yourself for a big draping of mocha, coffee and murk on this hot-styled, somewhat funky blend of Syrah and Cab. The palate has generic berry flavors that almost seem ripe at the core, but there's also wayward notes of vanilla, peppercorn and leather. A solid effort but with some issues. Imported by Wineco Corp.",Toro de Piedra Reserva,84,14.0,Curicó Valley,,,Syrah-Cabernet,Viña Requingua
New Zealand,"Seresin's 2009 Leah is already mature. An evolved, earthy aroma of fresh compost adds a layer of interest to the pretty cherry fruit. As the name suggests,  this is a delicate, feminine style, with silky tannins and restrained weight. Drink now.",Leah,88,32.0,Marlborough,,,Pinot Noir,Seresin
